_id,rewardsReceiptStatus,totalSpent,purchasedItemCount,userId
5fff4c8c0a7214ad4c000026,FINISHED,49.95,5.0,5fff4beedf9ace121f0c17ea
5fff564d0a720f05f3000038,FINISHED,49.95,5.0,5fff55dabd4dff11dda8f5f1
5fff26cb0a7214ad4c00000e,FINISHED,2.0,2.0,5fff2698b3348b03eb45bb10
5fff4ca90a720f05f300002a,FINISHED,0.99,1.0,5fff4beedf9ace121f0c17ea
5fff0f8c0a7214ad28006e32,FINISHED,1.0,1.0,5fff0f4fb3348b03eb45abb0
5fff26990a720f05f300000b,FINISHED,50.0,5.0,5fff2698b3348b03eb45bb10
5fff26c40a720f05f3000014,FINISHED,22.0,3.0,5fff26bfb3348b03eb45bb32
5fff26d70a7214ad4c00000f,FINISHED,1.0,2.0,5fff2698b3348b03eb45bb10
5fff26c60a7214ad4c00000c,FINISHED,22.0,1.0,5fff26bfb3348b03eb45bb32
5fff0f990a7214ad28006e36,FINISHED,1.0,1.0,54943462e4b07e684157a532
5fff566e0a720f05f300003f,FINISHED,49.95,5.0,5fff55dabd4dff11dda8f5f1
5fff26f10a7214ad4c000018,FLAGGED,290.0,10.0,5fff2698b3348b03eb45bb10
5fff4c710a7214ad4c00001d,FINISHED,1.0,1.0,54943462e4b07e684157a532
5fff562e0a720f05f300002f,FINISHED,1.0,1.0,54943462e4b07e684157a532
5fff4c960a720f05f3000027,FINISHED,18.2,4.0,5fff4beedf9ace121f0c17ea
5fff4c7d0a720f05f3000022,FINISHED,1.0,1.0,5fff4c7d61ffa811fdb0856f
6000b8770a720f05f3000069,FINISHED,1.0,1.0,54943462e4b07e684157a532
6000d4b10a720f05f3000076,FINISHED,21.0,3.0,6000d4abe2571211db395b5c
6000b8840a720f05f300006c,FINISHED,1.0,1.0,6000b884fb296c121a81ad3b
6000b8280a720f05f3000061,FINISHED,49.95,5.0,6000b7aefb296c121a8198b1
6000b8810a7214ad4c00005e,FINISHED,1.0,1.0,54943462e4b07e684157a532
6000d48d0a7214ad4c000063,FINISHED,50.0,5.0,6000d46cfb296c121a81b20c
6000d4b00a7214ad4c00006c,FINISHED,20.0,1.0,6000d4abe2571211db395b5c
6000d4d30a720f05f3000081,REJECTED,3.0,3.0,6000d46cfb296c121a81b20c
6000b87d0a7214ad4c00005d,FINISHED,1.0,1.0,54943462e4b07e684157a532
6000b2be0a7214ad4c00004d,FINISHED,84.78,21.0,5e27526d0bdb6a138c32b556
6000c8460a720f05f300006f,FINISHED,101.75,21.0,5e27526d0bdb6a138c32b556
6000d4ae0a720f05f3000075,FINISHED,20.0,4.0,6000d4abe2571211db395b5c
6000d4aa0a720f05f3000072,FLAGGED,0.0,0.0,6000d4aafb296c121a81b27e
6000b9b70a720f05f300006d,FINISHED,90.36,21.0,5e27526d0bdb6a138c32b556
600056de0a720f05f3000049,FINISHED,2.0,2.0,600056a3f7e5b011fce897b0
