_id,dateScanned,barcode,brandCode,purchasedItemCount,totalSpent,userId
601443600a7214ad50000060,2021-01-29 12:18:24,,,1.0,10.0,6014436084231211ce793ced
60145a3d0a7214ad50000082,2021-01-29 13:55:57,4011,,1.0,1.0,60145a3c84231211ce796c5d
60144aee0a720f05f80000f1,2021-01-29 12:50:38,021000018710,,1.0,1.0,6014499c67804a1228b1f5b0
601431e40a7214ad50000041,2021-01-29 11:03:48,,MISSION,,2.23,6014319173c60b3ca7f3bf01
60147ba00a7214ad500000d3,2021-01-29 16:18:24,036000162905,HUGGIES,5.0,99.95,60147a84c8b50e11d8453f29
601465b00a7214ad5000009f,2021-01-29 14:44:48,4011,,1.0,28.0,601465a884231211ce796db3
60145a540a720f05f8000116,2021-01-29 13:56:20,,,0.0,0.0,60145a5467804a1228b20ded
601472e20a7214ad500000ce,2021-01-29 15:41:06,036000320893,,4.0,84.0,60145ff384231211ce796d51
601442dd0a7214ad50000054,2021-01-29 12:16:13,4011,,1.0,1.0,601442ce67804a1228b1dc41
601443310a720f05f80000c6,2021-01-29 12:17:37,016000898264,BRAND,1.0,10.0,601442ce67804a1228b1dc41
60145a510a7214ad50000086,2021-01-29 13:56:17,4011,,1.0,10.0,60145a5167804a1228b20ddd
60145a960a7214ad50000095,2021-01-29 13:57:25,4011,,2.0,1.0,60145a3c84231211ce796c5d
601465f40a720f05f8000137,2021-01-29 14:45:56,007940018942,BRAND,1.0,10.0,6014658e67804a1228b20ef4
60145a830a7214ad5000008f,2021-01-29 13:57:07,4011,,2.0,11.0,60145a3c84231211ce796c5d
601432400a7214ad50000043,2021-01-29 11:05:20,079400066619,,1.0,1.0,6014319173c60b3ca7f3bf01
601442570a7214ad5000004b,2021-01-29 12:13:59,021000049325,,1.0,1.0,54943462e4b07e684157a532
601455a80a720f05f8000107,2021-01-29 13:36:24,4011,,2.0,1.0,6014554a67804a1228b20ca9
601455820a720f05f80000fb,2021-01-29 13:35:46,4011,,1.0,10.0,6014558284231211ce796b88
6014323b0a720f05f80000b2,2021-01-29 11:05:15,4011,,2.0,11.0,54943462e4b07e684157a532
601442710a720f05f80000bb,2021-01-29 12:14:25,025800020300,,5.0,25.0,601441a984231211ce792603
6014435e0a720f05f80000d1,2021-01-29 12:18:22,4011,,1.0,28.0,6014435467804a1228b1dcaf
60144adf0a720f05f80000ef,2021-01-29 12:50:23,021000024582,,1.0,10.0,6014499c67804a1228b1f5b0
601455900a720f05f8000102,2021-01-29 13:36:00,4011,,5.0,21.0,6014558767804a1228b20d00
601448fe0a720f05f80000df,2021-01-29 12:42:22,600699001564,,1.0,1.0,6014485b84231211ce793d79
60146fbd0a7214ad500000ba,2021-01-29 15:27:41,025155000149,,5.0,49.95,60146f2ac8b50e11d8452661
601836c70a720f05f8000364,2021-02-01 12:13:43,4011,,2.0,23.0,601836c2c8b50e11d8454b58
601485340a720f05f8000167,2021-01-29 16:59:16,036000320893,,1.0,20.99,60147d2ac8b50e11d8453f53
601830cd0a720f05f800034f,2021-02-01 11:48:13,,,0.0,0.0,601830cdc8b50e11d8454a6f
